Item:,Shipping $:,Cost(USD):,Quanity:,Website/Supplier:
ALPS EC11 Rotary Encoder,FREE,$1.78,1,AliExpress
220R Resistors,FREE,$1.12,21 (100 pack),AliExpress
4K7 Resistors,FREE,$1.11,4 (100 pack),AliExpress
6x6x6 Tactile Push Buttons,FREE,$1.00,3 (20 pack),AliExpress
Seeed XIAO RP2040,FREE,$9.99,1,Amazon
 4-dig 7 Segment (SR420561N),👇,$0.63,1,LCSC
 1-dig 7 Segment (SM420561N),👇,$0.16,2 (5 pack),LCSC
I/O Converter (UMW PCA9555PW),$10.87,$0.28,2,LCSC
M3 Brass Heat Set Inserts,FREE,$2.26,4 (50 pack),AliExpress
PCB,$8.55,$8.80,1,JLCPCB
TOTAL $:,$19.42,$27.13,TOTAL: $46.55,NOTE: PRICE IS FOR EACH NOT ALL (eg. cost: $1.50 quanity: 2 total: $3.00
